date,open,high,low,close,volume
20210331  09:15:00,298.85,302.7,297.5,302.2,48139
20210331  09:20:00,302.15,304.7,301.45,304.7,37175
20210331  09:25:00,305.0,305.0,303.35,303.6,40377
20210331  09:30:00,304.0,304.0,302.55,302.95,37444
20210331  09:35:00,302.85,304.4,302.85,303.9,30740
20210331  09:40:00,303.9,304.4,303.65,304.35,34999
20210331  09:45:00,304.3,304.8,303.85,304.25,40725
20210331  09:50:00,304.35,306.45,304.0,306.0,43514
20210331  09:55:00,306.0,306.0,305.25,305.4,29211
20210331  10:00:00,305.5,307.3,305.35,307.05,42964
20210331  10:05:00,307.0,307.5,305.8,306.05,47490
20210331  10:10:00,306.0,306.5,305.75,306.1,39775
20210331  10:15:00,305.9,306.35,305.05,305.25,36024
20210331  10:20:00,305.25,305.5,304.5,305.0,30421
20210331  10:25:00,305.05,305.6,304.6,305.35,27065
20210331  10:30:00,305.35,306.0,305.35,305.9,35692
20210331  10:35:00,305.85,305.95,304.7,304.7,30449
20210331  10:40:00,304.6,305.0,304.3,304.6,35764
20210331  10:45:00,304.6,305.5,304.45,305.45,34622
20210331  10:50:00,305.4,305.5,304.75,304.95,30697
20210331  10:55:00,304.95,305.2,304.3,304.65,21905
20210331  11:00:00,304.55,304.9,304.35,304.9,31937
20210331  11:05:00,304.85,304.85,303.65,303.75,34483
20210331  11:10:00,303.85,304.3,303.65,303.95,30349
20210331  11:15:00,303.9,304.4,303.9,304.05,29104
20210331  11:20:00,304.0,304.05,303.3,303.7,35714
20210331  11:25:00,303.7,303.75,303.0,303.2,38002
20210331  11:30:00,303.05,303.25,302.65,302.9,36972
20210331  11:35:00,303.0,303.8,302.9,303.25,30584
20210331  11:40:00,303.25,304.15,303.0,304.0,39125
20210331  11:45:00,303.95,304.3,303.5,303.55,36985
20210331  11:50:00,303.7,304.1,303.5,303.65,28006
20210331  11:55:00,303.75,304.2,303.55,304.1,29143
20210331  12:00:00,304.15,305.0,303.75,304.5,40209
20210331  12:05:00,304.65,304.9,304.4,304.7,36488
20210331  12:10:00,304.7,304.9,304.3,304.65,19987
20210331  12:15:00,304.65,305.2,304.2,305.2,40044
20210331  12:20:00,305.2,305.2,304.75,304.95,29242
20210331  12:25:00,304.9,305.05,304.6,304.8,21704
20210331  12:30:00,304.8,305.0,304.5,304.95,29623
20210331  12:35:00,305.0,305.9,304.7,305.4,35689
