date,open,high,low,close,volume
20200731,104.0,105.4,102.3,104.65,2760686
20200803,103.0,114.4,103.0,113.05,4761856
20200804,112.95,115.1,110.8,111.45,4307425
20200805,112.4,117.6,112.05,115.4,4645567
20200806,116.2,117.7,115.5,116.8,4108744
20200807,117.0,119.7,116.35,119.1,3892357
20200810,119.95,124.65,119.75,123.85,4022167
20200811,125.0,125.7,121.55,122.3,3663788
20200812,121.0,126.35,120.7,125.35,3378036
20200813,126.1,131.9,124.4,131.15,3845656
20200814,131.15,132.55,123.7,124.6,3487639
20200817,124.5,126.2,120.65,123.55,3762365
20200818,124.0,127.45,123.6,125.6,4291515
20200819,127.0,127.6,124.8,125.15,3508552
20200820,123.45,125.65,121.25,121.7,3201109
20200821,124.2,124.2,120.2,120.9,3424784
20200824,122.0,123.0,120.8,121.2,3175582
20200825,121.8,128.35,121.6,127.1,3667997
20200826,130.5,139.0,128.4,137.9,4941850
20200827,140.1,146.8,139.3,144.25,4597436
20200828,144.15,146.1,140.6,142.8,3734297
20200831,144.5,147.95,138.25,143.2,4930478
20200901,143.4,145.1,140.45,143.8,3943696
20200902,144.3,151.65,141.5,150.3,3404692
20200903,151.6,155.2,150.0,151.85,3942216
20200904,147.9,153.65,147.0,147.8,4445573
20200907,150.0,151.95,148.05,149.4,3811902
20200908,149.45,149.6,141.2,142.3,3512986
20200909,141.0,141.7,135.75,140.1,4691369
20200910,142.8,144.25,138.0,143.3,3680183
20200911,143.1,146.75,141.7,144.3,3795309
20200914,147.2,151.05,145.5,148.55,3936032
20200915,149.4,149.4,146.55,148.4,3426653
20200916,149.2,154.3,148.6,151.45,3510025
20200917,150.8,150.9,146.25,147.65,3453392
20200918,148.7,150.5,146.25,147.9,3312818
20200921,147.75,147.75,135.5,137.45,3265933
20200922,138.0,138.0,129.65,133.1,3689133
20200923,135.5,136.65,128.0,131.4,3830210
20200924,127.9,128.8,122.15,122.8,3158406
20200925,123.7,128.35,123.1,127.25,3440563
20200928,128.9,134.3,127.65,132.85,3709144
20200929,134.95,136.0,130.75,131.7,3757221
20200930,131.55,134.35,130.3,133.3,3739286
20201001,135.9,136.5,132.6,133.5,3165486
20201005,136.95,137.5,132.1,133.9,3851329
20201006,138.0,145.75,136.0,144.75,4599451
20201007,144.25,144.5,139.8,141.0,4112980
20201008,142.85,143.35,139.6,140.95,3499554
20201009,141.15,142.65,138.0,138.45,3149273
20201012,139.65,139.65,133.05,135.9,3329685
20201013,135.4,137.05,132.85,134.1,3243051
20201014,133.75,134.65,128.9,130.7,3518305
20201015,131.5,134.35,126.5,126.95,3698870
20201016,129.4,130.05,126.0,127.75,3871325
20201019,129.8,130.35,127.85,128.25,2654030
20201020,128.1,130.25,126.5,129.65,2539954
20201021,131.05,133.0,128.3,130.25,3103205
20201022,129.7,134.6,128.5,133.5,3497497
20201023,134.9,138.9,134.1,137.0,3782065
20201026,138.4,140.75,131.25,133.7,4093693
20201027,134.15,136.75,130.85,135.65,3703963
20201028,139.0,143.25,133.6,134.8,4777534
20201029,132.0,133.0,130.0,131.9,3781700
20201030,133.2,134.5,130.3,132.65,3501641
20201102,133.65,134.0,131.1,132.85,3403393
20201103,135.0,137.35,133.6,134.1,3668642
20201104,135.6,136.95,134.0,135.9,3599707
20201105,137.0,138.0,136.0,137.65,3362897
20201106,137.65,142.25,137.65,139.0,3798402
20201109,140.6,141.5,138.7,141.0,3382671
20201110,144.05,146.55,142.75,146.0,3962925
20201111,146.5,151.45,145.75,150.95,4272465
20201112,150.95,153.85,150.0,151.2,3628987
20201113,150.0,150.0,145.4,148.85,2489480
20201117,152.5,159.15,152.3,158.0,4236904
20201118,158.85,174.85,158.8,173.5,4514220
20201119,171.4,176.3,166.65,167.95,4130506
20201120,170.05,171.5,165.55,169.1,3396412
20201123,169.5,173.85,165.65,170.7,3147901
20201124,171.85,175.5,171.15,172.05,2947840
20201125,175.0,176.8,169.3,171.45,2836670
20201126,171.6,174.85,171.05,173.75,2909872
20201127,174.65,183.85,174.65,180.35,4023398
20201201,182.35,182.35,178.15,179.75,2982758
20201202,184.0,187.3,181.1,183.6,3439242
20201203,185.0,185.9,183.3,184.85,2540486
20201204,186.5,188.75,182.25,184.15,3042376
20201207,184.45,186.45,182.7,183.55,2287754
20201208,184.95,185.7,179.05,181.8,3059934
20201209,183.0,186.4,181.8,182.7,2341410
20201210,182.7,182.7,176.45,177.6,2834081
20201211,177.95,181.45,176.6,178.85,2803885
20201214,181.0,181.0,176.8,177.65,2557007
20201215,176.45,179.65,173.35,178.9,2804746
20201216,181.0,183.8,180.2,182.55,3728469
20201217,184.0,184.0,180.65,181.7,3428177
20201218,180.9,181.45,176.7,180.55,3826255
20201221,176.0,177.55,162.5,164.55,2839657
20201222,164.55,169.1,156.75,164.95,3890046
20201223,165.0,169.7,163.5,169.2,3361566
20201224,172.0,177.85,172.0,175.95,3742819
20201228,179.85,187.4,179.85,186.35,3838385
20201229,187.9,188.3,181.1,183.45,3128427
20201230,183.1,185.4,180.5,184.15,2982124
20201231,184.85,187.5,182.8,186.5,3130106
20210104,191.8,192.7,188.8,191.3,3006212
20210105,187.1,193.9,185.1,193.2,3321002
20210106,194.45,197.5,190.75,195.4,3737686
20210107,197.0,200.35,195.6,196.75,3083312
20210108,198.75,201.5,197.35,198.15,3107810
20210111,199.9,224.95,199.8,220.65,3785797
20210112,227.0,249.35,224.35,237.8,4096607
20210113,242.9,248.7,238.6,242.6,3589984
20210114,242.85,249.8,238.65,245.1,3236739
20210115,246.0,264.5,242.7,260.3,3760463
20210118,261.65,262.15,241.4,245.95,3706530
20210119,251.5,261.65,251.3,258.65,3411581
20210120,260.0,277.45,259.2,274.9,3634516
20210121,281.0,299.0,281.0,290.6,3505309
20210122,295.95,306.8,278.55,289.35,3397862
20210125,296.9,299.5,277.45,279.15,3082347
20210127,274.9,274.9,266.0,267.5,3034348
20210128,260.05,273.35,259.35,266.8,3329138
20210129,273.0,278.8,260.8,262.7,3316309
20210201,269.75,282.0,255.6,279.6,2790298
20210202,293.6,328.7,290.6,322.0,3024104
20210203,339.2,341.75,326.2,331.0,3089059
20210204,329.0,334.45,322.55,326.15,2473416
20210205,327.6,329.8,313.0,315.9,2284985
20210208,318.75,339.2,318.3,335.95,2088620
20210209,337.0,338.4,322.25,325.05,2476924
20210210,326.0,332.45,319.55,328.9,2692968
20210211,326.45,331.2,323.65,325.0,2344297
20210212,326.4,330.45,321.45,325.4,2510777
20210215,329.9,335.5,324.0,333.35,2224846
20210216,335.45,337.9,327.55,329.2,2446543
20210217,326.9,334.15,325.45,330.15,2445959
20210218,331.5,331.6,321.25,323.85,2394280
20210219,321.95,321.95,301.55,311.85,1954000
20210222,312.45,313.8,302.5,304.5,2215149
20210223,308.5,328.85,308.5,324.0,2668598
20210224,325.0,330.0,318.8,321.65,1010094
20210225,325.35,334.7,323.45,333.15,2464890
20210226,323.0,332.9,319.0,322.95,2500811
20210301,330.0,331.65,322.8,328.3,2411692
20210302,331.1,347.1,326.7,345.75,2618664
20210303,348.65,357.0,346.5,348.5,2480260
20210304,339.0,345.35,337.55,339.2,2294992
20210305,333.0,337.8,320.05,325.15,2259458
20210308,331.75,331.75,318.8,321.25,2206277
20210309,325.0,328.3,310.0,315.2,2194400
20210310,319.5,324.45,316.75,321.45,2457927
20210312,325.05,326.35,314.2,317.55,2215214
20210315,320.0,320.35,310.05,318.55,1965992
20210316,321.0,321.9,315.3,319.95,2121703
20210317,318.6,319.85,304.0,305.8,2111500
20210318,311.0,316.5,299.85,307.0,2546402
20210319,303.5,311.0,290.35,308.95,2946036
20210322,306.45,307.5,300.1,303.05,2155426
20210323,305.0,312.1,304.2,307.4,2095802
20210324,303.55,305.0,293.25,294.45,2175867
20210325,294.0,294.0,282.25,285.55,2164964
20210326,290.5,301.4,290.5,296.4,2510180
20210330,300.5,301.15,292.75,297.05,2309932
20210331,299.0,307.5,297.5,301.8,2496495
20210401,306.75,309.8,303.1,307.75,2198071
20210405,306.8,311.6,297.2,305.05,2213392
20210406,306.15,313.75,304.8,307.75,2428521
20210407,306.75,310.65,305.1,307.8,2157704
20210408,307.9,319.75,307.65,313.95,2577287
20210409,313.2,324.95,312.5,318.2,2633029
20210412,307.85,307.85,284.05,286.55,2068612
20210413,287.25,304.5,280.7,302.85,2803480
20210415,303.1,307.45,296.6,303.5,2648059
20210416,301.4,315.0,300.2,310.0,2793587
20210419,294.9,304.45,292.85,301.4,2290365
20210420,307.7,308.0,294.3,298.05,2535169
20210422,293.8,302.5,292.45,294.55,2519625
20210423,291.55,299.95,291.05,294.0,2493735
