date,open,high,low,close,volume
20200731  09:15:00,104.25,104.5,103.8,103.8,19320
20200731  09:16:00,103.8,104.2,103.8,104.15,21669
20200731  09:17:00,104.25,104.5,104.2,104.35,26729
20200731  09:18:00,104.2,104.3,103.9,103.95,15687
20200731  09:19:00,103.95,104.1,103.85,103.95,11651
20200731  09:20:00,104.0,104.0,103.4,103.5,26076
20200731  09:21:00,103.5,103.7,103.3,103.45,22725
20200731  09:22:00,103.45,103.45,103.05,103.3,24509
20200731  09:23:00,103.4,103.7,103.3,103.65,15946
20200731  09:24:00,103.7,103.9,103.6,103.65,11461
20200731  09:25:00,103.7,103.8,103.5,103.65,12846
20200731  09:26:00,103.6,104.15,103.6,104.15,15736
20200731  09:27:00,104.1,104.35,104.05,104.3,20860
20200731  09:28:00,104.3,104.55,104.15,104.4,16201
20200731  09:29:00,104.4,104.55,104.3,104.35,6042
20200731  09:30:00,104.4,104.45,104.05,104.15,7897
20200731  09:31:00,104.2,104.25,103.85,103.9,9470
20200731  09:32:00,103.8,104.0,103.8,103.9,18524
20200731  09:33:00,103.95,104.0,103.7,103.7,13525
20200731  09:34:00,103.75,104.05,103.75,103.95,10459
20200731  09:35:00,103.95,104.05,103.8,103.95,11554
20200731  09:36:00,104.05,104.05,103.9,104.0,14780
20200731  09:37:00,104.05,104.25,104.0,104.2,7622
20200731  09:38:00,104.2,104.2,104.05,104.15,8264
20200731  09:39:00,104.15,104.15,103.95,104.05,10316
20200731  09:40:00,104.0,104.3,104.0,104.2,10909
20200731  09:41:00,104.15,104.3,104.1,104.2,7189
20200731  09:42:00,104.2,104.3,104.2,104.25,9694
20200731  09:43:00,104.25,104.25,104.05,104.1,8952
20200731  09:44:00,104.0,104.25,104.0,104.15,6378
20200731  09:45:00,104.2,104.35,104.15,104.3,7150
20200731  09:46:00,104.3,104.35,104.2,104.2,5858
20200731  09:47:00,104.2,104.3,104.15,104.15,9448
20200731  09:48:00,104.2,104.2,104.0,104.0,5047
20200731  09:49:00,104.05,104.1,104.0,104.05,8583
20200731  09:50:00,104.05,104.1,104.0,104.1,4048
20200731  09:51:00,104.05,104.05,103.85,103.9,7591
20200731  09:52:00,103.95,103.95,103.75,103.75,8355
20200731  09:53:00,103.8,103.9,103.7,103.8,8229
20200731  09:54:00,103.75,103.85,103.75,103.85,11760
20200731  09:55:00,103.85,103.9,103.5,103.55,7449
20200731  09:56:00,103.55,103.6,103.4,103.5,11108
20200731  09:57:00,103.55,103.55,103.4,103.45,5379
20200731  09:58:00,103.4,103.5,103.3,103.45,6491
